Unnamed: 0,accident_date,aircraft_type,registration,operator,fatalities,location,damage_severity,manufacturer
1138,28 Jul 2018,IRMA/Britten-Norman BN-2A-27 Islander,YJ-AL2,Air Taxi Vanuatu,0.0,Port Vila-Bauerfield Airport (VLI),Sub,Irma/Britten-Norman
1139,28 Jul 2018,Britten-Norman BN-2A-8 Islander,YJ-OO9,Unity Airlines,0.0,Port Vila-Bauerfield Airport (VLI),W/O,Britten-Norman
1140,28 Jul 2018,ATR 72-500 (72-212A),YJ-AV71,Air Vanuatu,0.0,Port Vila-Bauerfield Airport (VLI),Sub,Atr
1141,30 Jul 2018,Antonov An-2SX,RA-40649,private,0.0,"Evenki district, Krasnoyarsk Krai",Sub,Antonov
1142,31 Jul 2018,Boeing 757-223,N192AN,American Airlines,0.0,"Philadelphia International Airport, PA (PHL/KPHL)",Sub,Boeing
1143,31 Jul 2018,Embraer ERJ 190AR,XA-GAL,Aeroméxico Connect,0.0,Durango-Guadalupe Victoria Airport (DGO),W/O,Embraer
1144,1 Aug 2018,Beechcraft B300 King Air 350,N557AP,Atlantic Transportation of Wilmington LLC,0.0,"near Wilmington-New Hanover County International Airport, NC (ILM)",Sub,Beechcraft
1145,3 Aug 2018,Shijiazhuang Y-5B(D),B-50AA,Heilongjiang Kunpeng General Aviation Co.,0.0,32 km E of Tongjiang,Sub,Shijiazhuang
1146,4 Aug 2018,Junkers Ju-52/3mg4e,HB-HOT,Ju-Air,20.0,"1,2 km SW of Piz Segnas",W/O,Junkers
1147,5 Aug 2018,Airbus A320-200,,,0.0,Venice-Marco Polo Airport (VCE/LIPZ),Non,Airbus
1148,6 Aug 2018,Airbus A321-231,PT-MXA,LATAM Airlines Brasil,0.0,"Choró, CE",Non,Airbus
1149,7 Aug 2018,Dassault Falcon 20D,N961AA,Alliance Air Charter,0.0,ca 3 km from San Luis Potosí Airport (SLP),Sub,Dassault
1150,7 Aug 2018,Cessna 208B Grand Caravan,VT-UDN,Supreme Airlines,0.0,Lalgarh Airport,Sub,Cessna
1151,9 Aug 2018,Boeing 777-3F2ER,TC-JJZ,THY Turkish Airlines,0.0,Istanbul-Atatürk International Airport (IST),Sub,Boeing
1152,9 Aug 2018,Boeing 787-8 Dreamliner,CN-RGT,Royal Air Maroc - RAM,0.0,Istanbul-Atatürk International Airport (IST),Sub,Boeing
1153,10 Aug 2018,de Havilland Canada DHC-8-402Q Dash 8,N449QX,"Horizon Air, opf Alaska Airlines",1.0,"Ketron Island, WA",W/O,De
1154,13 Aug 2018,Airbus A321-271N,N204HA,Hawaiian Airlines,0.0,"Los Angeles International Airport, CA (LAX)",Sub,Airbus
1155,13 Aug 2018,Cessna 525 CitationJet,N526CP,Vancon Holdings,1.0,"Payson, UT",W/O,Cessna
1156,15 Aug 2018,Boeing 777-367ER,B-KPY,Cathay Pacific Airways,0.0,Roma-Fiumicino Airport (FCO),Sub,Boeing
1157,16 Aug 2018,Boeing 737-85C (WL),B-5498,Xiamen Airlines,0.0,Manila-Ninoy Aquino International Airport (MNL),Sub,Boeing
1158,19 Aug 2018,de Havilland Canada DHC-8-402Q Dash 8,N404AV,LC Perú,0.0,Lima-Jorge Chávez International Airport (LIM),Sub,De
1159,19 Aug 2018,Antonov An-2T,D-FOJB,Ostthüringer Fallschirmsportclub - OFC,0.0,Gera-Leumnitz Airfield (EDAJ),Sub,Antonov
1160,24 Aug 2018,Boeing 757-2Q8 (WL),EI-LBT,Aer Lingus,0.0,"Philadelphia International Airport, PA (PHL/KPHL)",Non,Boeing
1161,25 Aug 2018,Grumman HU-16C Albatross,N1955G,Stargazer Aero,0.0,"680 km WNW off Cape Hatteras, NC",W/O,Grumman
